Name,Longitude (x),Latitude (y),Connection
Gate 1,1093,579,CC1
Gate 2,1234,562,ED
Gate 3,1250,661,ED
Gate 4,1340,647,ED
Gate 5,1394,638,DB
Gate 6,1510,706,AB2
Gate 7,1573,701,AB2
Gate 8,1646,699,R23
R10L,71,589,R10S
R10S,155,577,CC3
R28L,1722,323,"R28S, AA"
R28S,1652,338,AA
R5L,927,50,R5S
R5S,989,105,BB4
R23,1734,742,BB3
CC1,1090,524,CB
CC2,656,589,CC1
CC3,165,668,CC2
CC4,95,670,"CC3, R10L"
BB3,1370,437,AB2
BB4,946,149,"BB5, CB"
BB5,888,99,R5L
AB2,1583,611,R23
ED,1304,613,LK
DB,1393,564,LK
CB,1320,481,"BB3, DB"
AA,1717,440,"AB2, R28S"
LK,1355,567,DB
